aid,field,pub_date,snap_ts,downloads,abstract_views
3832481,Business; Management and Accounting,2021-01-01,20250419090950,58,441
4037458,Social Sciences,2022-01-01,20250506053046,135,628
2781485,Social Sciences,2016-01-01,20250427002320,455,1785
1001228,Economics; Econometrics and Finance,2007-01-01,20251228014557,3588,15551
4957908,Social Sciences,2024-01-01,20251031221443,71,895
1473765,Economics; Econometrics and Finance,2009-01-01,20250506194146,64,887
3947581,Energy,2021-01-01,20250506161156,39,223
5070006,Environmental Science,2025-01-01,20250429175829,50,188
4366504,Engineering,2023-01-01,20250503172937,57,194
4907817,Economics; Econometrics and Finance,2024-01-01,20250429225713,15,92
2582802,Engineering,2015-01-01,20250417183329,123,659
4816953,Neuroscience,2024-01-01,20250430194652,37,247
2702243,Business; Management and Accounting,2015-01-01,20251203103436,498,2258
2569832,Economics; Econometrics and Finance,2015-01-01,20241120231337,131,1892
4042835,Engineering,2022-01-01,20250703123427,53,283
4390581,Engineering,2023-01-01,20250525032820,60,427
4623555,Engineering,2023-01-01,20250503091726,11,117
1924902,Social Sciences,2011-01-01,20250426095518,432,1922
313594,Economics; Econometrics and Finance,2002-01-01,20251219065049,2651,12673
3582693,Agricultural and Biological Sciences,2020-01-01,20250507022132,35,1005
2663754,Social Sciences,2015-01-01,20250506011846,47,592
4719873,Business; Management and Accounting,2024-01-01,20250504122531,105,420
3055081,Business; Management and Accounting,2017-01-01,20250910173547,45,595
1409402,Psychology,2009-01-01,20250426053207,601,2911
4460579,Environmental Science,2023-01-01,20250503210909,100,489
3094542,Arts and Humanities,2017-01-01,20250527083136,1003,3716
3440240,Agricultural and Biological Sciences,2016-01-01,20250510110349,67,592
1947797,Physics and Astronomy,2011-01-01,20250426130116,59,472
5456194,Business; Management and Accounting,2025-01-01,20260117082103,80,852
2758000,Social Sciences,2012-01-01,20250426153614,227,748
4217586,Agricultural and Biological Sciences,2022-01-01,20250505022018,61,458
4037131,Decision Sciences,2022-01-01,20250505171936,48,366
3902384,Business; Management and Accounting,2021-01-01,20250506174835,89,531
3274326,Economics; Econometrics and Finance,2018-01-01,20240710100631,214,999
5096491,Engineering,2025-01-01,20250914153631,27,158
4122871,Engineering,2022-01-01,20230328071553,24,89
4468225,Business; Management and Accounting,2023-01-01,20250503170041,326,1056
5172710,Social Sciences,2025-01-01,20250430004733,5,113
2974368,Business; Management and Accounting,2017-01-01,20250806115248,23,4114
3205848,Decision Sciences,2018-01-01,20251018023535,71,765
3748436,Business; Management and Accounting,2019-01-01,20250911013047,31,376
4363619,Earth and Planetary Sciences,2023-01-01,20250503150648,47,205
2706440,Economics; Econometrics and Finance,2015-01-01,20251106145303,120,1873
5679593,Engineering,2025-01-01,20251119203353,11,72
4210367,Psychology,2022-01-01,20250505183449,35,244
5142311,Medicine,2025-01-01,20250701021720,46,337
6068394,Social Sciences,2026-01-01,20260131105606,6,45
4223286,Computer Science,2022-01-01,20220921052347,5,20
4165735,Social Sciences,2022-01-01,20250505015458,130,777
5707330,Engineering,2025-01-01,20251120223523,6,18
4096829,Economics; Econometrics and Finance,2022-01-01,20251103133938,312,1312
4000319,Environmental Science,2022-01-01,20250505021846,26,187
3959682,Mathematics,2021-01-01,20220125094651,26,95
3497477,Social Sciences,2019-01-01,20240612115552,192,1367
5084346,Environmental Science,2025-01-01,20250501012107,12,164
2117381,Social Sciences,2012-01-01,20250813113236,158,1035
4089137,Computer Science,2022-01-01,20250505111627,119,346
4587913,Engineering,2023-01-01,20250617032237,96,403
1966172,Social Sciences,2011-01-01,20250425190214,74,598
3867692,Economics; Econometrics and Finance,2021-01-01,20250506054705,290,1275
3890015,Business; Management and Accounting,2021-01-01,20250506221240,288,891
